14:08:08  | critical | /var/www/nix-project/framework/core/Router.php | line : 44 | Method doesn`t exist [lotAction] in [App\controllers\UserController]
14:08:35  | critical | /var/www/nix-project/framework/core/Router.php | line : 44 | Method doesn`t exist [lotAction] in [App\controllers\UserController]
14:08:35  | critical | /var/www/nix-project/framework/core/Router.php | line : 44 | Method doesn`t exist [cssAction] in [App\controllers\UserController]
14:08:36  | critical | /var/www/nix-project/framework/core/Router.php | line : 44 | Method doesn`t exist [lotAction] in [App\controllers\UserController]
14:08:36  | critical | /var/www/nix-project/framework/core/Router.php | line : 44 | Method doesn`t exist [cssAction] in [App\controllers\UserController]
14:08:36  | critical | /var/www/nix-project/framework/core/Router.php | line : 44 | Method doesn`t exist [cssAction] in [App\controllers\UserController]
14:08:36  | critical | /var/www/nix-project/framework/core/Router.php | line : 44 | Method doesn`t exist [lotAction] in [App\controllers\UserController]
14:08:37  | critical | /var/www/nix-project/framework/core/Router.php | line : 44 | Method doesn`t exist [cssAction] in [App\controllers\UserController]
14:08:37  | critical | /var/www/nix-project/framework/core/Router.php | line : 44 | Method doesn`t exist [lotAction] in [App\controllers\UserController]
14:08:37  | critical | /var/www/nix-project/framework/core/Router.php | line : 44 | Method doesn`t exist [cssAction] in [App\controllers\UserController]
14:08:38  | critical | /var/www/nix-project/framework/core/Router.php | line : 44 | Method doesn`t exist [lotAction] in [App\controllers\UserController]
14:08:38  | critical | /var/www/nix-project/framework/core/Router.php | line : 44 | Method doesn`t exist [cssAction] in [App\controllers\UserController]
14:08:46  | critical | /var/www/nix-project/framework/core/Router.php | line : 54 | Class doesn`t exist [App\controllers\RerController]
14:08:01  | critical | /var/www/nix-project/framework/core/Router.php | line : 44 | Method doesn`t exist [lorAction] in [App\controllers\UserController]
14:08:01  | critical | /var/www/nix-project/framework/core/Router.php | line : 44 | Method doesn`t exist [cssAction] in [App\controllers\UserController]
14:08:41  | critical | /var/www/nix-project/framework/core/Router.php | line : 44 | Method doesn`t exist [indexAction] in [App\controllers\UserController]
14:08:50  | critical | /var/www/nix-project/framework/core/Router.php | line : 44 | Method doesn`t exist [rerAction] in [App\controllers\UserController]
14:08:50  | critical | /var/www/nix-project/framework/core/Router.php | line : 44 | Method doesn`t exist [cssAction] in [App\controllers\UserController]
14:08:07  | critical | /var/www/nix-project/framework/core/Router.php | line : 44 | Method doesn`t exist [rerAction] in [App\controllers\UserController]
14:08:13  | critical | /var/www/nix-project/framework/core/Router.php | line : 54 | Class doesn`t exist [App\controllers\UsController]
14:08:53  | critical | /var/www/nix-project/framework/core/Router.php | line : 44 | Method doesn`t exist [cssAction] in [App\controllers\AccountController]
14:08:34  | critical | /var/www/nix-project/framework/core/Router.php | line : 44 | Method doesn`t exist [cssAction] in [App\controllers\AccountController]
14:08:34  | critical | /var/www/nix-project/framework/core/Router.php | line : 44 | Method doesn`t exist [cssAction] in [App\controllers\AccountController]
14:08:35  | critical | /var/www/nix-project/framework/core/Router.php | line : 44 | Method doesn`t exist [cssAction] in [App\controllers\AccountController]
14:08:35  | critical | /var/www/nix-project/framework/core/Router.php | line : 44 | Method doesn`t exist [cssAction] in [App\controllers\AccountController]
14:08:36  | critical | /var/www/nix-project/framework/core/Router.php | line : 44 | Method doesn`t exist [cssAction] in [App\controllers\AccountController]
14:08:36  | critical | /var/www/nix-project/framework/core/Router.php | line : 44 | Method doesn`t exist [cssAction] in [App\controllers\AccountController]
14:08:45  | critical | /var/www/nix-project/framework/core/Router.php | line : 44 | Method doesn`t exist [cssAction] in [App\controllers\AccountController]
